,id,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,achievement_count,athlete_count,start_date,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,elev_high,elev_low,pr_count
0,8915901454,Afternoon Ride,4.507480117,0.24972222222222223,0.2577777777777778,50.0,Ride,Ride,2,1,2023-04-18T23:13:11Z,8.069,14.428,78.2,True,153.4,182.0,1290.0,1279.0,1
1,8912508804,Morning Run,2.158763654,0.2783333333333333,0.28583333333333333,6.1,Run,Run,5,1,2023-04-18T12:58:56Z,3.467,5.744,{},True,161.3,173.0,1355.1,1348.8,4
2,8909481956,Afternoon Ride,20.24361323,1.193888888888889,1.2066666666666668,132.0,Ride,Ride,26,1,2023-04-17T21:10:54Z,7.58,13.516,70.9,True,140.3,165.0,1370.6,1319.8,15
3,8906720296,Morning Run,2.02193798,0.3111111111111111,0.3111111111111111,0.0,Run,Run,0,1,2023-04-17T13:13:17Z,2.905,3.55,{},True,152.7,172.0,{},{},0
4,8897156084,Riverton > Rose Canyon > Daybreak,32.376421713,2.1416666666666666,2.7933333333333334,572.0,Ride,Ride,20,3,2023-04-15T18:07:30Z,6.758,15.986,66.7,True,130.9,167.0,1723.6,1349.6,15
5,8889236073,Morning Run,2.0504588630000002,0.2986111111111111,0.3325,11.7,Run,Run,4,1,2023-04-14T13:29:14Z,3.07,4.994,{},True,150.1,163.0,1355.1,1349.1,0
6,8885727500,Afternoon Run,2.110731753,0.32916666666666666,0.32916666666666666,0.0,Run,Run,0,1,2023-04-13T19:43:39Z,2.867,3.54,{},True,144.6,155.0,{},{},0
7,8881037960,Ozzy’s Daily Exercise,1.634948744,0.18222222222222223,0.1922222222222222,6.1,Ride,Ride,1,1,2023-04-13T00:24:47Z,4.011,6.618,{},True,94.1,115.0,1355.1,1348.9,0
8,8875167564,Afternoon Ride,20.031850334,1.5383333333333333,2.216666666666667,341.0,Ride,Ride,2,2,2023-04-11T22:43:51Z,5.821,13.412,61.0,True,119.5,161.0,1628.8,1349.8,1
9,8873221082,Lunch Ride,1.474883832,0.1736111111111111,0.17944444444444443,6.1,Ride,Ride,1,1,2023-04-11T17:47:19Z,3.798,6.37,{},True,99.7,112.0,1355.1,1348.9,0
